Title,Author,Year Published,Average GoodReads Rating,Number of Pages
"Work, Retire, Repeat: The Uncertainty of Retirement in the New Economy",Teresa Ghilarducci,2024,3.4,264
How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,2019,4.34,304
Conversations with Friends,Sally Rooney,2017,3.73,304
The 50th Law: Overcoming Adversity Through Fearlessness,50 Cent,2009,4.16,291
How Not to Hate Your Husband After Kids,Jancee Dunn,2017,4.06,289
Time Anxiety: The Illusion of Urgency and a Better Way to Live,Chris Guillebeau,2025,3.72,288
"The Next Day: Transitions, Change, and Moving Forward",Melinda French Gates,2025,3.84,176
Coming Up Short: A Memoir of My America,Robert B. Reich,2025,4.52,416
Where the Deer and the Antelope Play: The Pastoral Observations of One Ignorant American Who Loves to Walk Outside,Nick Offerman,2021,3.7,352
The Life That's Waiting,Brianna Wiest,2025,4.04,
The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,2024,4.31,400
Play Nice But Win: A CEO's Journey from Founder to Leader,Michael Dell,2021,4.13,336
Limitarianism: The Case Against Extreme Wealth,Ingrid Robeyns,2024,4.06,336
"Lawless: How the Supreme Court Runs on Conservative Grievance, Fringe Theories, and Bad Vibes",Leah Litman,2025,4.05,320
Intermezzo,Sally Rooney,2024,3.8,464
After 1177 B.C.: The Survival of Civilizations,Eric H. Cline,2024,3.77,352
Why Nothing Works: Who Killed Progress―and How to Bring It Back,Marc J. Dunkelman,2025,3.83,416
Until Proven Safe: The History and Future of Quarantine,Nicola Twilley,2021,3.93,416
The God of the Woods,Liz    Moore,2024,4.1,490
When We're in Charge: The Next Generation’s Guide to Leadership,Amanda Litman,2025,3.89,272
The Haves and Have-Yachts: Dispatches on the Ultrarich,Evan Osnos,2025,3.79,304
Selling Sexy: Victoria’s Secret and the Unraveling of an American Icon,Lauren Sherman,2024,3.7,320
Patriot: A Memoir,Alexei Navalny,2024,4.51,496
"One Day, Everyone Will Have Always Been Against This",Omar El Akkad,2025,4.59,208
Not My Type: One Woman vs. a President,E. Jean Carroll,2025,4.31,368
"How Not to Invest: The ideas, numbers, and behaviors that destroy wealth―and how to avoid them",Barry Ritholtz,2025,4.19,496
Culpability,Bruce Holsinger,2025,4.02,350
Algospeak: How Social Media Is Transforming the Future of Language,Adam Aleksic,2025,3.73,256
2024: How Trump Retook the White House and the Democrats Lost America,Josh Dawsey,2025,3.93,416
UnWorld,Jayson Greene,2025,3.3,224
Reset: How to Change What's Not Working,Dan Heath,2025,4.17,288
High Functioning: Overcome Your Hidden Depression and Reclaim Your Joy,Judith Joseph,2025,3.93,320
All the Way to the River,Elizabeth Gilbert,2025,3.76,400
Second Life: Having a Child in the Digital Age,Amanda  Hess,2025,4.11,272
"In Search of Mycotopia: Citizen Science, Fungi Fanatics, and the Untapped Potential of Mushrooms",Doug Bierend,2021,3.85,336
The Secrets of Closing the Sale: BONUS: Selling With Emotional Logic,Zig Ziglar,2015,4.16,
The Classical Music Book: Big Ideas Simply Explained,Katie Derham,2018,3.97,352
Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine,Joe Hagan,2017,3.76,560
Unmasked: A Memoir,Andrew Lloyd Webber,2018,3.79,528
A Thousand Splendid Suns,Khaled Hosseini,2007,4.46,372
America Is Not the Heart,Elaine Castillo,2018,3.97,408
How to Fight Racism: Courageous Christianity and the Journey Toward Racial Justice,Jemar Tisby,2021,4.41,240
The Color of Compromise: The Truth about the American Church’s Complicity in Racism,Jemar Tisby,2019,4.49,256
From #BlackLivesMatter to Black Liberation,Keeanga-Yamahtta Taylor,2016,4.47,270
